#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
161001_desc;You have decided to take young [From.GetFirstName] as your squire, putting them on the path to knighthood. He will attend to you and train with you every day in hopes that one day he'll be a knight himself.;;;;;;;;;x
knightly.001.1;Prepare yourself, [From.GetFirstName].;;;x

161002_desc;[From.GetFirstName] is a renowned warrior, and his martial prowess is without dispute. Recognizing his valor, you have arranged for [From.GetFirstName] to be knighted. You command him to take a knee. As you place your blade across one shoulder then the other, you feel a deep sense of pride swelling within you.;;;;;;;;;x
knightly.002.1;"Rise, Sir [From.GetFirstName]!";Lève un chevalier!;Stehe auf einen Ritter!;;¡Levántate un caballero!;;;;;;;;;x

161003_desc;[From.GetTitledFirstName] has dutifully served as a squire for what seems like ages. Finally, his  hard work has paid off. You command your [From.GetFirstName] to kneel. As you put the blade on his shoulders you see him swell with pride for his accomplishments and breathe a sigh of relief knowing his chores as a squire, are over.;;;;;;;;;x
knightly.003.1;"Rise, Sir [From.GetFirstName]!";;;x

161004_desc;You are a renowned warrior, and you have proven your worth on the battlefield. Recognizing your martial valor, a knight invites you to take a knee. As he places his blade on one arm, then the other you feel a deep sense of pride swelling within you.;;;;;;;;;x
knightly.004.1;Rise a knight!;Lève un chevalier!;Stehe auf einen Ritter!;;¡Levántate un caballero!;;;;;;;;;x

161005_desc; You have fought desperately and valiantly all evening, putting many men under your blade. A nobleman whom you've been fighting alongside has offered to knight you for your gallantry on the battlefield. Hundreds of men gathered in witness to the man ceremoniously blessing you with his blade. You kneel, rising with pride as a knight!;;;x
knightly.005.1;I am truly blessed!;;;x

161006_desc;You have dutifully served as a squire for what seems like ages. Finally, your  hard work has paid off for today you will be knighted. As the blade is placed upon your shoulders you swell with pride for your accomplishments and feel a sense of relief knowing your chores as a squire are over.;;;;;;;;;x
knightly.006.1;"Rise, Sir [From.GetFirstName]!";;;x

161007_desc;Whilst marching through an impoverished hamlet in [Root.Location.GetName], a young woman and her urchin brings your group to a halt. The woman fiercely demands to be heard. "Please," she says, "Take my son as your squire so that he may be saved from this sorry life we live here." Oddly,you are moved by this poor downtrodden woman and her boy.;;;x
knightly.007.1;I accept! Now begone...;;;x
squire1;Take the young boy as your squire.;;;x
knightly.007.2;Here, have some money instead.;;;x
squire2;Give the woman some money. It might help.;;;x
knightly.007.3;Damn. That's tough. *shrug*;;;x

161008_desc;A young man has requested your audience today. He claims that you had blessed him and his mother years ago when you visited their village, and they were able to turn their lives around. Tall, strong, and fierce, this warrior wishes to join you and serve as a knight in your court and dedicate himself to your service.;;;x
knightly.008.1;"Of course! Welcome home...";;;x
knightly.008.2;I do not know you. Good bye.;;;x

EVTDESCknightly.100;Today you've decided to spar with your squire [From.GetTitledFirstName] in the courtyard. You promise not to go easy on him, but you are more interested in seeing how well his training has been going than hurting him. You both draw your practice swords...;;;x
knightlynvm;Nevermind.;;;x
EVTOPTBknightly.100;"Ready yourself, [From.GetFirstName]!";;;x

EVTDESCknightly.101;[FromFrom.GetTitledFirstName] did well against you and almost knocked you off of your feet before you managed to disarm him. You smile and help him off of the floor. It seems your training has been paying off.;;;x
EVTOPTAknightly.110;Now, let's go for a drink!;;;;x

EVTDESCknightly.102;Your squire [FromFrom.GetTitledFirstName] did not perform well against you in your duel. He has clearly not been taking his training seriously. You rap him across the head with the practice sword and bark him out of your sight.;;;x
EVTOPTAknightly.102;[Root.Religion.GetHighGodName] help that boy...;;;x

EVTDESCknightly.104;Today's battle has been particularly fierce and your squire [From.GetTitledFirstName] has been at your side throughout, assisting you timely and fighting fiercely, felling his first man and few more. You decide this may be an appropriate time for him to be knighted.;;;x
EVTOPTAknightly.104;Knight [From.GetFirstName];;;x
EVTOPTBknightly.104;[From.GetFirstName] needs more training...;;;x

