#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
knight;Knight;Chevalier;Ritter;;Caballero;;;;;;;;;x
knight_desc;This character is an annointed knight;Ce personnage est un chevalier oint;Dieser Charakter ist ein gesalbter Ritter;;Este personaje es un cabellero ungido;;;;;;;;;x
squire;Squire;Écuyer;Knappe;;Escudero;;;;;;;;;x
squire_desc;This character is a ward of a knight;Ce personnage est la pupille d'un chevalier;Dieser Charakter ist der Beschützer eines Ritters;;Este personaje es el pupilo de un caballero;;;;;;;;;x
title_knight;Sir;Sir;Sir;;Sir;;;;;;;;;x
opinion_knighted_me;Knighted me;M'a fait chevalier;Knighted mich;;Knighted me;;;;;;;;;x
opinion_squired_me;Took me on as squire;M'a pris comme écuyer;Nahm mich als Knappe an;;Me tomó como escudero;;;;;;;;;x
knight_character;Knight [Root.GetFirstName];Knight Character;Knight Character;;Knight Character;;;;;;;;;x
take_squire;Take On Squire;Prendre sur écuyer;Nimm Squire;;Enfréntate al escudero;;;;;;;;;x
knight_character_desc;Knighthoods can be granted to those who are worthy;Les chevaleries peuvent être accordées à ceux qui le méritent;Ritterschaften können denen gewährt werden, die es wert sind;;Los caballeros pueden ser otorgados a aquellos que son dignos;;;;;;;;;x
take_squire_desc;You can put your ward on the path to knighthood;Vous pouvez mettre votre paroisse sur le chemin de la chevalerie;Sie können Ihre Gemeinde auf den Weg zum Ritterstand bringen;;Puedes poner a tu barrio en el camino hacia la caballería;;;;;;;;;x
knight_squire;Knight Your Squire;Chevalier Votre Écuyer;Knight Your Squire;;Caballero tu escudero;;;;;;;;;x
knight_squire_desc;Your squire is eligible for knighthood;Votre écuyer est éligible à la chevalerie;Ihr Knappe ist berechtigt zum Ritterschlag;;Tu escudero es elegible para caballeros;;;;;;;;;x
arrange_knighthood;Arrange Knighthood;Organiser la chevalerie;Ritterschaft arrangieren;;Organizar la caballería;;;;;;;;;x
arrange_knighthood_desc;You can arrange for yourself to be knighted;Vous pouvez faire en sorte que ce personnage soit fait chevalier;Sie können die Ritterschaft für diesesn Charakter arrangieren;;Puedes hacer arreglos para que este personaje sea nombrado caballero;;;;;;;;;x
buy_knighthood;Buy Knighthood;Acheter Chevalerie;Ritterschaft kaufen;;Compra de caballero;;;;;;;;;x
buy_knighthood_desc;You can purchase a knighthood, though this is seen as craven and less prestigious than earning it.;;;;;;;;;x
train_squire;Train Squire;;;x
train_squire_desc;Train your squire and put their skills to the test.;;;x
trained_squire;Trained Squire;;;x
